Queued Songs	Artists	ID	ExCol
Honey, Fire (Alt)	Aaron Krause	Jade	spotify:track:4lyo0rbHnvruruggBLh72w
As the World Falls Down	Aaron Richards	As the World Falls Down	spotify:track:2fDr2ASQg3fGcsxpTxszK6
My Hell (Glxyfx Remix)	Aaron Richards, GLXYFX	My Hell (Glxyfx Remix)	spotify:track:6AssfTqDEmBbioYOFbB6oT
Privilege	Aaron Richards, Luke Holland	Privilege	spotify:track:5y71Vao04nfvm3xqJhfnkb
Where Are Ü Now (feat. Ocean Avenue)	Aaron Richards, Ocean Avenue	Where Are Ü Now (feat. Ocean Avenue)	spotify:track:1dAIefRWP3JesLUosfHwDv
Off My Mind	Aaron Taos	Off My Mind	spotify:track:3MFaRVxcPCa9mbXoPiZZXF
Different	The Academic	Different	spotify:track:7dES51jQZhXiD0XNHfkY2S
Northern Boy	The Academic	Northern Boy	spotify:track:1OdRTjbCDdmnVJQsF15j8E
tell me how you rly feel	adam&steve, Lostboycrow	tell me how you rly feel	spotify:track:3ZdUUFDweqSwANRiEQ4PnI
SOMETHING NEW (feat. Lil Baby)	ADÉ, Lil Baby	ALWAYS SOMETHING	spotify:track:5AQSlfdcWMQfgHhqTbruA3
Feel Some Way (feat. Wale)	ADÉ, Wale	wyd after?	spotify:track:1sZVdBEb8byGMbotpY30fm
Gallows	Dustin Kensrue	Carry the Fire	spotify:track:71YZarMrfJZOqcIZXhF3RB
Radar	GRRL PAL	Paradise	spotify:track:76mmnWIFkukKo4NfKW1UPB
Condolences (Skit)	Tech N9ne	Special Effects	spotify:track:6MiJHMuW7QDMOTMhBzrvtV
More Psycho Messages (Skit)	Tech N9ne	Special Effects	spotify:track:0Sx7aZgMTw3cOTLeaM09Yg
Dead Alive (Skit)	Tech N9ne	Special Effects	spotify:track:5wH9PvOf89BBS4ZoyNn8KR
Uncle Skit	The Game	The Documentary 2	spotify:track:5thv0T0VEv7U22VPiJDK9W
Phone Call With Breezy (Skit)	A$AP Ferg	ALWAYS STRIVE AND PROSPER	spotify:track:7o1VHp0PStkOkBPw0wVofI
Now or Never	Flyboy Tarantino, Craig Xen, Kidway	XXXTENTACION Presents: Members Only, Vol. 4	spotify:track:4RwkD60oxDXokzAluwPc8B
Make Eem Run!	Bass Santana, XXXTENTACION, Ski Mask The Slump God	XXXTENTACION Presents: Members Only, Vol. 4	spotify:track:44nlOJLjLqwNgYcT277V25
Anything More (feat. Era Istrefi) - Will Sparks Remix	Steve Aoki, Era Istrefi, Will Sparks	Neon Future III (Remixes)	spotify:track:1eeb7X8NjETnaEQRJNGJ3A
Beautiful Day - Amaal Mallik Reprise	U2, Amaal Mallik	The Eternal Remixes	spotify:track:1oEZ5n0bwKH1o9YTg7NjE6
Between the Raindrops	Apollo Brown, Locksmith	No Question	spotify:track:5oksiJXxnhz58lWL8bCq82
30 Seconds	Vinyl Theatre	Origami	spotify:track:1gYljiHmr5La4rMkzEbXRE
Picture This	Hilary Duff	Breathe In. Breathe Out.	spotify:track:4XEukWsNOOeINwMkf3iT0I
DROPPED OUTTA COLLEGE	24kGoldn	DROPPED OUTTA COLLEGE	spotify:track:7tVTYf17rcDEGrr6qHZNqc
GAMES ON YOUR PHONE	24kGoldn	GAMES ON YOUR PHONE	spotify:track:1YTkVMFRNzKojhcPq31Jfs
A LOT TO LOSE	24kGoldn	A LOT TO LOSE	spotify:track:4l1pEoIJvTP4eJzvuoHI4U
